,HomePlanet,CryoSleep,Destination,Age,VIP,Side,Deck,Y
155,3.0,0,1.0,38.0,0,2,4,0
156,1.0,0,1.0,19.0,0,1,7,1
157,1.0,0,1.0,0.0,0,1,7,0
158,1.0,0,1.0,3.0,0,1,7,1
159,1.0,0,1.0,20.0,0,1,7,0
160,2.0,1,1.0,24.0,0,1,3,1
161,1.0,0,1.0,37.0,0,2,6,1
162,1.0,0,1.0,25.0,0,1,7,0
163,1.0,1,1.0,56.0,0,2,7,1
164,1.0,0,3.0,49.0,0,1,5,0
165,1.0,1,3.0,11.0,0,2,7,0
166,1.0,1,1.0,1.0,0,1,7,1
167,1.0,0,1.0,8.0,0,1,7,0
168,1.0,0,1.0,39.0,0,1,7,0
169,3.0,1,1.0,2.0,0,1,6,1
170,3.0,0,1.0,23.0,0,1,6,0
171,3.0,0,1.0,0.0,0,1,6,1
172,3.0,0,1.0,39.0,0,1,6,1
173,3.0,0,2.0,25.0,0,1,4,0
174,2.0,0,1.0,36.0,0,1,3,0
175,1.0,0,2.0,52.0,0,1,7,1
176,1.0,1,1.0,18.0,0,2,7,0
177,1.0,1,1.0,15.0,0,1,7,1
178,2.0,1,1.0,35.0,0,2,2,1
179,2.0,1,1.0,47.0,0,2,2,1
180,2.0,1,3.0,45.0,0,1,2,1
181,2.0,0,3.0,,0,1,1,1
182,2.0,1,1.0,51.0,0,2,3,1
183,1.0,0,1.0,29.0,0,2,7,0
184,2.0,0,3.0,,0,2,3,1
185,1.0,1,2.0,19.0,0,1,7,0
186,,1,3.0,24.0,0,1,4,1
187,3.0,0,1.0,29.0,0,1,6,1
188,3.0,1,1.0,11.0,0,1,6,1
189,3.0,0,1.0,17.0,0,1,6,0
190,1.0,0,1.0,13.0,0,1,5,0
191,1.0,0,1.0,35.0,0,1,6,0
192,1.0,0,1.0,21.0,0,1,6,0
193,1.0,0,3.0,21.0,0,2,6,0
194,1.0,0,1.0,38.0,0,1,6,0
195,1.0,1,1.0,19.0,0,1,7,1
196,1.0,1,1.0,2.0,0,1,7,1
197,1.0,0,1.0,0.0,0,1,7,1
198,1.0,1,1.0,13.0,0,1,7,0
199,1.0,0,1.0,25.0,0,1,5,0
200,1.0,0,1.0,16.0,0,1,6,0
201,1.0,0,3.0,1.0,0,1,7,0
202,1.0,1,1.0,15.0,0,1,7,1
203,3.0,0,3.0,21.0,0,2,5,0
204,3.0,0,1.0,23.0,0,2,5,0
205,3.0,0,1.0,33.0,0,2,5,0
206,3.0,1,1.0,21.0,0,2,5,1
207,3.0,0,1.0,41.0,0,2,5,0
208,3.0,0,1.0,16.0,0,2,5,0
209,3.0,1,1.0,42.0,0,2,5,0
210,3.0,0,1.0,20.0,0,2,6,0
211,3.0,1,1.0,24.0,0,2,6,1
212,3.0,1,1.0,16.0,0,2,5,1
213,1.0,0,1.0,21.0,0,2,7,0
214,3.0,0,1.0,32.0,1,2,6,0
215,1.0,1,2.0,58.0,0,1,7,1
216,1.0,0,1.0,24.0,0,2,6,0
217,3.0,0,1.0,30.0,0,2,6,0
218,1.0,1,2.0,27.0,0,2,7,0
219,3.0,0,1.0,32.0,0,2,6,0
220,1.0,0,1.0,43.0,0,1,6,0
221,2.0,1,1.0,42.0,0,1,2,1
223,3.0,1,1.0,35.0,0,1,6,1
224,2.0,0,3.0,33.0,0,1,5,0
225,,0,1.0,18.0,0,2,6,0
226,1.0,1,1.0,21.0,0,2,7,0
228,3.0,1,3.0,14.0,0,2,6,1
229,2.0,0,3.0,46.0,0,1,3,1
230,2.0,0,1.0,33.0,0,1,3,0
231,3.0,0,1.0,21.0,0,1,4,0
232,2.0,0,1.0,33.0,0,2,3,0
233,1.0,1,2.0,47.0,0,2,7,0
234,,1,3.0,54.0,0,2,3,1
235,1.0,0,1.0,30.0,0,1,6,0
236,1.0,0,1.0,29.0,0,1,7,0
237,1.0,0,1.0,21.0,0,1,6,1
238,2.0,1,1.0,24.0,0,2,1,1
239,3.0,0,3.0,21.0,0,2,6,0
240,3.0,1,1.0,60.0,0,2,6,1
241,1.0,0,1.0,22.0,0,2,6,0
242,2.0,0,1.0,26.0,0,2,5,0
243,1.0,0,1.0,26.0,0,1,6,0
244,1.0,1,1.0,28.0,0,1,7,1
245,2.0,1,1.0,39.0,0,2,4,1
246,1.0,0,1.0,13.0,0,2,6,0
247,1.0,0,3.0,47.0,0,2,6,1
248,1.0,0,1.0,63.0,0,1,6,0
249,2.0,1,3.0,,0,2,4,1
250,1.0,0,3.0,50.0,0,1,6,1
252,1.0,0,1.0,45.0,0,1,7,0
253,1.0,0,1.0,19.0,0,1,6,1
254,1.0,0,1.0,21.0,0,2,6,1
255,1.0,1,2.0,29.0,0,1,7,1
256,1.0,0,1.0,22.0,0,1,6,1
257,2.0,1,1.0,14.0,0,1,5,1
258,2.0,1,3.0,42.0,0,1,5,1
259,1.0,0,3.0,57.0,0,1,6,0
261,2.0,0,1.0,28.0,0,1,2,0
262,1.0,0,3.0,19.0,0,2,6,0
263,2.0,1,3.0,19.0,0,2,3,1
264,2.0,0,3.0,26.0,0,2,2,1
265,2.0,1,1.0,17.0,0,2,2,1
266,2.0,0,1.0,43.0,0,2,2,1
267,2.0,0,3.0,9.0,0,2,2,1
268,2.0,0,1.0,40.0,0,2,4,1
269,2.0,1,1.0,50.0,0,2,2,1
270,1.0,0,1.0,24.0,0,1,7,1
271,2.0,1,3.0,57.0,0,1,1,1
273,1.0,0,1.0,23.0,0,1,6,0
274,,1,1.0,23.0,0,2,7,1
275,2.0,0,1.0,28.0,0,2,5,0
276,2.0,0,3.0,23.0,0,1,3,0
277,1.0,0,1.0,23.0,0,2,5,0
278,1.0,0,1.0,18.0,0,2,6,1
279,1.0,0,1.0,18.0,0,2,6,0
281,1.0,0,2.0,60.0,0,1,6,1
282,1.0,1,3.0,,0,1,7,1
283,1.0,0,3.0,49.0,0,1,6,1
284,1.0,0,3.0,0.0,0,1,7,1
285,1.0,0,3.0,26.0,0,1,7,0
286,,1,2.0,35.0,0,2,7,1
287,2.0,0,1.0,24.0,0,2,2,1
288,2.0,1,1.0,20.0,0,2,2,1
289,1.0,0,1.0,18.0,0,2,7,0
290,1.0,0,1.0,21.0,0,2,7,0
291,,0,1.0,59.0,1,2,6,0
292,1.0,1,2.0,13.0,0,2,7,0
293,1.0,1,3.0,43.0,0,1,7,0
294,1.0,1,1.0,29.0,0,2,7,0
296,2.0,0,1.0,2.0,0,2,3,1
297,2.0,0,1.0,32.0,0,2,3,1
298,2.0,0,1.0,33.0,0,2,3,0
299,1.0,0,1.0,25.0,0,1,6,0
300,3.0,1,3.0,29.0,0,1,6,1
301,3.0,0,1.0,29.0,0,2,6,0
302,1.0,0,1.0,44.0,0,1,6,0
303,3.0,1,3.0,2.0,0,2,6,1
304,3.0,0,1.0,19.0,0,2,6,1
305,3.0,0,3.0,0.0,0,2,6,1
306,1.0,1,1.0,18.0,0,2,7,1
307,2.0,1,3.0,38.0,0,2,2,1
308,1.0,1,2.0,5.0,0,1,7,0
309,1.0,0,2.0,31.0,0,1,6,0
310,3.0,1,1.0,30.0,0,2,5,0
311,1.0,1,3.0,15.0,0,1,7,1
312,3.0,0,1.0,27.0,0,2,6,0
313,3.0,0,1.0,22.0,0,1,4,1
315,1.0,1,2.0,14.0,0,1,7,1
316,3.0,0,1.0,23.0,0,1,6,0
318,2.0,1,3.0,36.0,0,1,2,1
319,1.0,0,1.0,41.0,0,2,6,0
320,1.0,1,1.0,50.0,0,2,7,1
321,1.0,1,2.0,32.0,0,2,7,1
322,1.0,0,2.0,26.0,0,2,6,0
323,1.0,0,1.0,15.0,0,2,6,0
324,1.0,0,3.0,33.0,0,2,6,1
325,1.0,0,3.0,,0,2,7,0
326,3.0,0,1.0,26.0,0,1,6,0
327,3.0,1,1.0,61.0,0,1,6,1
328,1.0,0,1.0,24.0,0,2,7,1
329,1.0,0,1.0,30.0,0,1,6,0
330,3.0,1,1.0,24.0,0,1,6,1
331,1.0,0,1.0,24.0,0,1,6,0
332,1.0,1,1.0,41.0,0,1,7,0
333,1.0,0,1.0,20.0,0,1,5,0
334,1.0,0,1.0,22.0,0,2,7,1
335,2.0,0,3.0,63.0,0,2,3,0
336,2.0,0,3.0,18.0,0,2,2,0
337,2.0,1,3.0,21.0,0,2,2,1
338,2.0,0,1.0,79.0,0,2,2,0
339,2.0,1,1.0,56.0,0,2,2,1
340,2.0,1,1.0,13.0,0,2,2,1
341,2.0,0,1.0,33.0,0,2,2,0
342,2.0,1,1.0,32.0,0,2,2,1
343,1.0,0,1.0,31.0,0,1,7,1
345,2.0,1,3.0,18.0,0,1,2,1
346,2.0,1,3.0,38.0,0,1,2,1
347,,0,,23.0,0,1,7,0
348,1.0,0,1.0,28.0,0,2,7,0
349,1.0,1,2.0,34.0,0,2,7,0
350,1.0,0,3.0,0.0,0,2,7,1
351,1.0,0,1.0,14.0,0,2,7,1
352,1.0,0,1.0,23.0,0,1,7,0
353,1.0,1,1.0,49.0,0,1,7,0
354,1.0,1,1.0,14.0,0,2,7,0
355,1.0,0,1.0,18.0,0,1,5,0
356,2.0,0,2.0,27.0,1,1,3,1
357,1.0,0,1.0,48.0,0,1,5,0
358,2.0,0,3.0,31.0,1,1,2,0
359,2.0,0,3.0,61.0,0,1,2,0
360,1.0,1,1.0,18.0,0,2,7,1
361,3.0,1,1.0,45.0,0,2,6,1
362,3.0,0,1.0,22.0,0,2,4,0
363,3.0,0,1.0,30.0,1,2,4,0
364,3.0,0,1.0,30.0,0,2,4,0
365,,1,3.0,32.0,1,2,4,1
366,3.0,0,1.0,43.0,1,1,4,1
367,1.0,0,3.0,17.0,0,1,6,0
368,1.0,0,1.0,23.0,0,1,7,0
369,1.0,0,1.0,20.0,0,1,6,0
370,1.0,1,1.0,39.0,0,1,7,0
371,3.0,0,1.0,35.0,0,1,5,0
372,3.0,0,1.0,31.0,0,2,6,0
373,1.0,0,3.0,21.0,0,2,6,0
374,1.0,0,1.0,16.0,0,1,6,0
375,2.0,0,1.0,60.0,0,1,3,1
376,1.0,0,1.0,18.0,0,1,6,0
377,1.0,1,1.0,42.0,0,2,7,0
378,2.0,1,3.0,68.0,0,1,2,1
379,2.0,0,3.0,22.0,0,1,2,0
380,2.0,1,1.0,59.0,0,1,2,1
381,2.0,0,1.0,,0,1,2,1
382,3.0,0,1.0,37.0,0,1,6,0
383,3.0,1,1.0,3.0,0,1,6,1
384,3.0,1,1.0,31.0,0,1,6,1
385,2.0,0,1.0,31.0,0,1,5,1
386,2.0,0,1.0,29.0,0,2,3,1
387,2.0,0,3.0,20.0,0,2,1,1
388,2.0,1,3.0,46.0,0,2,1,1
389,1.0,0,1.0,29.0,0,2,6,1
390,3.0,1,1.0,43.0,0,1,6,1
391,3.0,0,1.0,17.0,0,2,6,0
392,2.0,0,3.0,27.0,0,1,2,1
393,2.0,0,1.0,47.0,0,1,2,0
394,3.0,1,1.0,45.0,0,2,6,1
395,1.0,1,1.0,17.0,0,2,7,1
396,1.0,0,3.0,10.0,0,2,7,1
397,1.0,0,2.0,56.0,0,2,7,0
398,1.0,0,1.0,39.0,0,2,6,0
399,1.0,0,2.0,40.0,0,2,6,0
400,2.0,1,1.0,40.0,0,2,2,1
401,2.0,0,3.0,34.0,0,1,3,0
402,1.0,0,3.0,32.0,0,2,6,0
403,1.0,0,1.0,35.0,0,1,6,0
404,3.0,0,1.0,32.0,1,1,4,0
405,,0,1.0,26.0,1,1,6,0
406,1.0,0,1.0,25.0,0,2,6,0
407,,0,1.0,26.0,0,2,5,0
408,2.0,1,3.0,22.0,0,1,2,1
409,1.0,0,1.0,22.0,0,2,6,1
410,1.0,0,1.0,24.0,0,1,5,0
411,1.0,1,2.0,32.0,0,1,7,1
412,1.0,1,1.0,11.0,0,2,7,1
413,3.0,1,1.0,22.0,0,2,5,1
414,2.0,1,1.0,19.0,0,2,2,1
416,2.0,1,1.0,74.0,0,2,2,1
417,2.0,0,3.0,28.0,1,2,2,1
418,2.0,1,1.0,42.0,0,2,2,1
419,2.0,1,1.0,43.0,0,2,2,1
420,1.0,0,1.0,55.0,0,2,6,0
421,1.0,0,2.0,19.0,0,1,7,1
422,1.0,1,1.0,6.0,0,1,7,0
423,1.0,0,1.0,7.0,0,1,7,0
424,2.0,1,3.0,28.0,0,2,4,1
425,1.0,0,1.0,15.0,0,2,6,0
426,1.0,1,2.0,24.0,0,2,7,1
427,1.0,0,2.0,31.0,0,2,5,1
428,1.0,0,1.0,22.0,0,2,6,1
429,1.0,0,3.0,1.0,0,2,7,1
430,1.0,1,,50.0,0,2,7,0
431,3.0,0,1.0,34.0,0,1,6,0
432,3.0,0,1.0,14.0,0,1,6,0
433,1.0,0,1.0,19.0,0,1,5,0
434,1.0,0,1.0,,0,1,5,1
435,1.0,0,1.0,36.0,0,1,6,0
437,3.0,1,3.0,25.0,0,2,6,1
438,,1,1.0,36.0,0,2,6,1
439,2.0,0,1.0,16.0,0,1,2,0
440,2.0,0,3.0,30.0,0,1,2,1
441,1.0,0,2.0,37.0,0,2,6,0
442,1.0,1,3.0,15.0,0,2,7,1
443,1.0,0,1.0,36.0,0,1,5,0
444,3.0,0,2.0,27.0,0,1,6,0
445,3.0,1,1.0,27.0,0,1,6,1
446,3.0,1,1.0,12.0,0,1,6,1
447,1.0,0,1.0,22.0,0,1,5,0
448,1.0,0,1.0,27.0,0,1,7,0
449,1.0,1,1.0,13.0,0,2,7,1
450,1.0,0,1.0,27.0,0,2,5,0
451,1.0,0,1.0,28.0,0,2,6,0
452,2.0,0,3.0,21.0,0,2,2,0
453,2.0,0,1.0,39.0,0,2,3,0
454,1.0,1,2.0,28.0,0,1,7,0
455,1.0,1,1.0,14.0,0,2,7,1
457,2.0,1,3.0,46.0,0,2,2,1
458,3.0,1,3.0,27.0,0,2,6,1
459,3.0,0,1.0,21.0,0,2,5,0
460,3.0,0,3.0,21.0,0,1,4,1
461,2.0,0,1.0,42.0,0,1,5,0
463,3.0,0,1.0,10.0,0,2,6,1
464,3.0,0,1.0,43.0,0,2,6,0
465,3.0,0,1.0,42.0,0,2,5,0
466,2.0,1,3.0,18.0,0,2,2,1
467,2.0,1,3.0,54.0,0,2,2,1
468,2.0,1,,24.0,0,2,2,1
469,2.0,0,1.0,64.0,0,2,2,0
470,2.0,1,3.0,18.0,0,2,2,1
471,,1,3.0,53.0,0,2,2,1
472,3.0,1,1.0,23.0,0,2,6,1
473,1.0,0,1.0,39.0,0,2,7,1
474,2.0,0,1.0,59.0,0,1,3,1
475,2.0,0,3.0,32.0,0,2,4,1
476,2.0,1,1.0,55.0,0,2,4,1
477,1.0,1,2.0,21.0,0,1,7,1
478,2.0,1,1.0,50.0,0,2,2,1
479,2.0,0,3.0,55.0,0,2,1,0
480,1.0,0,1.0,,0,1,6,0
481,,1,1.0,35.0,0,2,6,1
482,1.0,1,1.0,,0,2,7,1
483,1.0,0,1.0,55.0,0,2,7,0
484,1.0,0,1.0,23.0,0,2,5,1
485,1.0,0,1.0,42.0,0,1,5,0
486,1.0,0,1.0,35.0,0,2,5,1
488,3.0,0,3.0,,0,2,6,0
489,3.0,1,1.0,34.0,0,2,6,1
490,2.0,0,1.0,46.0,0,1,3,0
491,1.0,1,2.0,26.0,0,1,7,0
492,1.0,1,3.0,1.0,0,1,7,0
493,1.0,1,3.0,,0,1,7,1
494,3.0,0,1.0,33.0,0,1,4,0
495,2.0,0,1.0,34.0,0,1,2,0
496,2.0,0,1.0,49.0,0,1,2,0
497,1.0,0,1.0,22.0,0,1,7,0
498,1.0,0,1.0,28.0,0,1,6,1
499,2.0,1,1.0,,0,1,3,1
500,2.0,1,3.0,36.0,0,1,3,1
501,,1,3.0,30.0,0,1,3,1
502,2.0,1,1.0,49.0,0,1,3,1
503,2.0,0,1.0,38.0,0,1,3,0
504,3.0,1,1.0,31.0,0,2,6,1
505,,0,1.0,17.0,0,2,6,0
506,1.0,0,1.0,26.0,0,1,7,0
507,1.0,0,1.0,23.0,0,1,6,0
508,1.0,0,3.0,24.0,0,2,6,0
509,1.0,0,1.0,23.0,0,2,6,0
510,1.0,0,1.0,24.0,0,2,5,1
511,3.0,0,2.0,32.0,0,2,4,1
512,3.0,1,1.0,43.0,0,2,6,1
513,1.0,0,1.0,23.0,0,2,6,1
514,1.0,0,1.0,42.0,0,2,7,0
515,2.0,1,3.0,29.0,0,2,3,1
516,2.0,1,1.0,40.0,0,1,3,1
517,2.0,0,1.0,37.0,0,1,3,1
518,2.0,1,3.0,61.0,0,1,3,1
519,2.0,0,1.0,33.0,0,1,3,0
520,1.0,0,1.0,19.0,0,2,6,1
521,1.0,0,2.0,21.0,0,2,6,0
522,1.0,0,1.0,4.0,0,2,7,0
523,1.0,0,2.0,12.0,0,2,7,1
524,,0,1.0,44.0,0,2,6,1
525,1.0,0,1.0,22.0,0,2,7,0
526,3.0,0,3.0,33.0,0,1,6,0
527,2.0,1,3.0,32.0,0,1,2,1
528,2.0,1,1.0,28.0,0,1,2,1
529,2.0,0,,28.0,0,1,2,0
530,3.0,0,1.0,31.0,0,1,6,0
531,3.0,1,1.0,13.0,0,2,5,1
532,1.0,1,1.0,14.0,0,2,7,1
533,2.0,0,1.0,33.0,0,2,4,0
534,2.0,1,3.0,,0,2,4,1
535,1.0,0,1.0,23.0,0,1,6,1
536,2.0,0,1.0,36.0,1,2,3,1
537,2.0,1,3.0,22.0,0,1,3,1
538,2.0,1,1.0,19.0,0,1,3,0
539,2.0,1,1.0,42.0,0,1,3,1
540,2.0,1,,30.0,0,1,3,1
541,2.0,1,3.0,16.0,0,1,3,1
542,2.0,0,1.0,55.0,0,1,3,0
543,2.0,1,1.0,55.0,0,1,3,1
544,1.0,0,1.0,19.0,0,2,6,0
545,1.0,0,1.0,,0,1,6,0
546,2.0,1,1.0,18.0,0,1,5,1
547,1.0,0,,21.0,0,2,6,0
548,1.0,0,1.0,65.0,0,1,7,0
549,1.0,0,1.0,55.0,0,2,6,1
550,1.0,0,1.0,50.0,0,2,7,0
551,1.0,1,1.0,49.0,0,1,7,1
552,1.0,0,1.0,22.0,0,2,5,0
553,3.0,1,1.0,33.0,0,1,6,1
554,3.0,1,1.0,3.0,0,2,6,1
555,3.0,1,1.0,0.0,0,2,6,1
556,3.0,1,1.0,33.0,0,2,6,1
557,3.0,1,1.0,48.0,0,1,6,1
558,3.0,1,1.0,5.0,0,1,6,1
559,3.0,0,1.0,23.0,0,1,4,0
560,2.0,1,1.0,53.0,0,1,4,1
561,3.0,0,1.0,18.0,0,1,6,0
562,1.0,1,2.0,20.0,0,1,7,0
563,1.0,0,1.0,23.0,0,1,5,0
564,1.0,0,1.0,48.0,0,1,7,0
565,1.0,1,2.0,19.0,0,2,7,0
566,3.0,0,1.0,,0,1,4,0
567,1.0,0,3.0,9.0,0,2,7,0
568,,0,1.0,24.0,0,2,5,0
569,3.0,0,1.0,46.0,0,1,6,1
570,1.0,1,,23.0,0,1,7,1
571,1.0,1,1.0,21.0,0,1,7,0
572,1.0,1,1.0,19.0,0,2,7,0
573,3.0,0,1.0,0.0,0,1,6,1
574,3.0,0,1.0,4.0,0,1,6,1
575,3.0,0,1.0,26.0,0,1,6,0
576,3.0,1,1.0,9.0,0,1,6,1
577,2.0,0,1.0,24.0,0,2,3,1
578,3.0,1,1.0,24.0,0,1,6,1
579,3.0,0,1.0,25.0,0,1,5,0
580,3.0,1,1.0,21.0,0,1,6,1
581,1.0,0,1.0,21.0,0,1,6,0
582,2.0,0,1.0,37.0,0,1,3,0
583,2.0,0,3.0,44.0,0,1,3,0
584,2.0,0,1.0,43.0,0,1,3,0
585,1.0,0,1.0,7.0,0,1,7,1
586,3.0,0,1.0,33.0,0,1,6,0
587,1.0,0,1.0,24.0,0,1,6,0
588,1.0,1,2.0,31.0,0,2,7,1
589,2.0,1,1.0,27.0,1,1,2,1
590,1.0,0,1.0,34.0,0,2,7,1
591,1.0,1,1.0,58.0,0,2,7,0
592,1.0,0,1.0,7.0,0,2,7,1
593,1.0,1,3.0,3.0,0,2,7,1
594,1.0,0,3.0,21.0,0,1,7,1
595,1.0,0,2.0,21.0,0,1,6,0
596,2.0,1,1.0,39.0,0,2,3,1
597,2.0,1,3.0,43.0,0,2,3,1
598,1.0,1,1.0,22.0,0,2,7,1
599,1.0,0,1.0,44.0,0,1,6,1
600,1.0,0,1.0,38.0,0,1,7,0
601,3.0,1,1.0,32.0,0,2,6,1
602,3.0,1,1.0,55.0,0,2,6,1
603,3.0,0,2.0,31.0,1,1,4,0
