,HomePlanet,CryoSleep,Destination,Age,VIP,Side,Deck
66,1.0,1,2.0,39.0,0,1,7
67,3.0,0,1.0,38.0,0,1,6
68,3.0,0,1.0,26.0,0,1,6
69,2.0,0,1.0,35.0,0,1,1
70,1.0,0,3.0,26.0,0,2,5
71,1.0,0,1.0,31.0,0,2,6
72,1.0,0,1.0,38.0,0,2,6
73,1.0,0,3.0,27.0,0,1,6
74,3.0,1,3.0,30.0,0,1,6
75,1.0,0,1.0,22.0,0,2,7
76,2.0,1,1.0,29.0,0,2,3
77,1.0,1,1.0,0.0,0,1,7
78,1.0,0,3.0,8.0,0,1,7
79,1.0,1,1.0,3.0,0,1,7
80,1.0,1,1.0,27.0,0,1,7
81,1.0,0,1.0,9.0,0,1,7
82,1.0,0,2.0,29.0,0,1,6
83,1.0,0,1.0,18.0,0,1,6
84,3.0,0,1.0,22.0,0,1,5
85,3.0,0,1.0,24.0,0,2,6
86,3.0,1,3.0,25.0,0,2,6
87,1.0,0,1.0,36.0,0,2,6
88,2.0,1,1.0,14.0,0,1,3
89,2.0,1,3.0,24.0,0,1,3
90,2.0,0,3.0,26.0,1,1,3
91,1.0,0,2.0,29.0,0,1,6
92,1.0,0,1.0,40.0,0,1,7
93,2.0,0,1.0,36.0,0,1,2
94,2.0,0,1.0,46.0,0,2,5
95,2.0,0,1.0,42.0,0,2,5
96,1.0,1,1.0,23.0,0,1,7
97,1.0,0,1.0,19.0,0,1,7
98,2.0,0,3.0,25.0,0,2,4
100,2.0,1,1.0,35.0,0,2,2
101,2.0,0,3.0,39.0,0,2,2
102,2.0,1,3.0,42.0,0,2,2
103,2.0,0,1.0,35.0,0,2,2
104,1.0,1,2.0,29.0,0,1,6
105,1.0,0,1.0,20.0,0,1,6
106,1.0,1,1.0,25.0,0,1,7
107,3.0,1,1.0,36.0,0,1,6
108,3.0,0,1.0,39.0,0,1,4
109,2.0,1,3.0,23.0,0,1,4
110,2.0,1,3.0,19.0,0,1,4
111,1.0,0,1.0,50.0,0,1,7
112,1.0,0,2.0,41.0,0,2,6
113,3.0,0,3.0,19.0,0,1,6
114,1.0,0,1.0,20.0,0,2,7
115,2.0,1,3.0,19.0,0,2,2
116,2.0,1,1.0,38.0,0,2,2
117,2.0,0,3.0,32.0,0,2,2
118,3.0,0,1.0,44.0,0,1,5
119,3.0,0,1.0,18.0,0,1,6
120,3.0,0,1.0,49.0,0,1,6
121,3.0,0,3.0,23.0,0,1,5
122,1.0,0,1.0,31.0,0,1,7
123,3.0,0,1.0,55.0,0,1,4
124,3.0,0,1.0,60.0,0,1,6
125,3.0,1,1.0,20.0,0,1,6
126,3.0,0,1.0,34.0,0,1,5
127,3.0,0,1.0,14.0,0,2,5
128,3.0,1,1.0,26.0,0,2,5
129,2.0,0,3.0,19.0,0,2,2
130,2.0,1,1.0,25.0,0,2,2
131,1.0,0,3.0,42.0,0,1,6
132,1.0,0,1.0,18.0,0,2,6
133,3.0,0,1.0,50.0,0,1,5
134,1.0,0,1.0,26.0,0,2,6
136,1.0,0,2.0,35.0,0,1,6
137,3.0,0,3.0,58.0,0,2,6
138,1.0,0,3.0,20.0,0,2,6
139,2.0,0,1.0,28.0,0,1,4
140,1.0,1,2.0,12.0,0,1,7
141,1.0,0,3.0,20.0,0,1,5
142,1.0,1,1.0,22.0,0,1,7
143,1.0,0,1.0,31.0,0,2,7
144,1.0,1,2.0,24.0,0,1,7
145,3.0,0,1.0,17.0,0,1,5
146,3.0,1,3.0,26.0,0,1,6
148,1.0,0,1.0,48.0,0,1,7
149,1.0,0,1.0,38.0,0,1,6
150,2.0,1,3.0,33.0,0,1,2
151,1.0,1,1.0,20.0,0,1,7
152,3.0,0,1.0,22.0,0,2,5
153,1.0,0,1.0,52.0,0,1,6
154,1.0,0,3.0,15.0,0,1,6
155,1.0,0,1.0,25.0,0,1,6
156,1.0,1,3.0,14.0,0,1,7
157,1.0,1,3.0,26.0,0,1,7
158,1.0,0,1.0,16.0,0,1,6
159,1.0,0,1.0,48.0,0,1,7
160,1.0,0,1.0,36.0,0,1,6
161,1.0,0,2.0,19.0,0,1,5
162,1.0,1,2.0,43.0,0,1,7
163,2.0,1,1.0,32.0,0,1,3
164,2.0,0,3.0,54.0,0,1,3
165,2.0,0,1.0,33.0,0,2,1
166,2.0,1,1.0,21.0,0,2,1
167,2.0,0,1.0,33.0,0,2,1
168,2.0,1,3.0,28.0,0,2,1
169,2.0,0,1.0,23.0,0,2,1
170,2.0,0,1.0,26.0,0,2,1
171,3.0,1,1.0,41.0,0,1,6
172,1.0,1,1.0,2.0,0,1,7
173,1.0,1,2.0,21.0,0,1,7
174,1.0,0,2.0,70.0,0,1,6
175,1.0,0,1.0,20.0,0,1,6
176,1.0,0,1.0,31.0,0,2,5
177,1.0,0,1.0,8.0,0,2,5
178,1.0,1,1.0,5.0,0,2,5
179,3.0,0,1.0,45.0,0,1,6
181,1.0,1,1.0,24.0,0,2,7
182,2.0,0,3.0,55.0,0,2,4
183,1.0,0,1.0,18.0,0,1,6
185,3.0,0,1.0,59.0,0,2,4
186,1.0,1,1.0,61.0,0,1,7
187,1.0,0,3.0,46.0,0,2,7
188,3.0,0,1.0,29.0,0,1,6
189,1.0,1,1.0,18.0,0,1,7
190,2.0,1,1.0,20.0,0,1,3
191,3.0,0,1.0,28.0,0,1,6
192,1.0,0,1.0,26.0,0,2,6
193,1.0,0,1.0,32.0,0,1,6
194,1.0,0,1.0,18.0,0,2,5
195,1.0,0,1.0,50.0,0,1,6
196,1.0,0,1.0,47.0,0,1,7
197,1.0,1,2.0,15.0,0,1,7
198,1.0,1,1.0,35.0,0,1,7
199,1.0,0,1.0,49.0,0,1,6
200,2.0,0,3.0,32.0,0,1,3
201,1.0,0,1.0,63.0,0,2,7
202,3.0,0,1.0,54.0,0,2,6
203,1.0,0,1.0,21.0,0,2,6
204,3.0,0,1.0,38.0,0,1,4
205,3.0,0,1.0,50.0,0,2,5
206,1.0,0,2.0,32.0,0,2,6
207,2.0,1,3.0,33.0,0,2,3
208,2.0,0,1.0,30.0,0,1,4
209,1.0,1,1.0,28.0,0,2,7
210,3.0,1,1.0,22.0,0,1,4
211,3.0,1,1.0,26.0,0,1,4
212,3.0,1,3.0,37.0,0,1,4
213,3.0,0,1.0,59.0,0,1,4
214,2.0,0,1.0,31.0,0,2,3
215,1.0,0,1.0,25.0,0,1,6
216,2.0,0,1.0,38.0,0,1,3
217,2.0,1,3.0,37.0,0,1,3
218,2.0,1,3.0,44.0,0,2,2
219,2.0,1,1.0,28.0,0,1,4
220,2.0,0,1.0,45.0,0,1,4
221,3.0,1,3.0,53.0,0,1,6
222,1.0,0,3.0,21.0,0,1,7
223,3.0,1,1.0,33.0,0,1,5
224,3.0,1,1.0,18.0,0,1,6
225,1.0,0,2.0,37.0,0,1,6
226,3.0,0,1.0,34.0,0,2,4
227,1.0,1,1.0,46.0,0,2,7
228,2.0,1,3.0,18.0,0,1,3
229,2.0,0,1.0,19.0,0,1,3
230,1.0,1,1.0,4.0,0,2,7
231,1.0,1,1.0,0.0,0,2,7
232,1.0,1,1.0,12.0,0,2,7
233,1.0,0,1.0,7.0,0,2,7
234,1.0,0,1.0,34.0,0,2,7
235,1.0,0,1.0,10.0,0,2,7
236,1.0,0,3.0,0.0,0,1,7
237,1.0,1,2.0,14.0,0,1,7
238,3.0,1,1.0,27.0,0,1,6
239,1.0,0,1.0,21.0,0,1,6
240,2.0,0,3.0,37.0,0,1,4
242,1.0,0,1.0,17.0,0,2,7
243,1.0,1,1.0,17.0,0,1,7
244,2.0,0,1.0,35.0,0,2,8
245,1.0,1,1.0,34.0,0,1,7
246,2.0,0,1.0,17.0,0,2,2
247,2.0,0,3.0,39.0,0,2,2
248,2.0,1,3.0,56.0,0,2,2
249,2.0,0,3.0,35.0,0,2,2
250,2.0,1,1.0,17.0,0,2,2
251,1.0,0,2.0,29.0,0,2,5
252,3.0,0,1.0,15.0,0,2,6
253,3.0,0,1.0,37.0,0,2,5
254,2.0,1,1.0,36.0,0,2,2
255,1.0,1,1.0,36.0,0,1,7
256,2.0,0,1.0,18.0,0,2,3
257,3.0,0,1.0,61.0,0,1,6
258,3.0,1,1.0,45.0,0,1,6
259,3.0,1,1.0,21.0,0,1,6
260,1.0,0,1.0,65.0,0,2,6
261,3.0,0,1.0,27.0,0,2,6
262,3.0,1,1.0,13.0,0,2,6
264,1.0,1,1.0,17.0,0,2,7
265,1.0,0,1.0,44.0,0,2,7
266,1.0,1,1.0,21.0,0,1,7
267,1.0,0,1.0,16.0,0,1,6
268,1.0,0,1.0,41.0,0,1,6
269,1.0,1,1.0,40.0,0,2,7
270,1.0,0,1.0,16.0,0,1,7
271,1.0,0,1.0,17.0,0,1,6
272,1.0,0,1.0,40.0,0,2,6
273,1.0,1,2.0,37.0,0,1,7
274,2.0,1,1.0,53.0,0,1,2
275,2.0,1,1.0,42.0,0,1,2
276,1.0,0,1.0,31.0,0,2,5
277,3.0,0,1.0,18.0,0,1,6
278,3.0,0,1.0,51.0,1,1,6
279,3.0,0,1.0,20.0,0,1,6
280,3.0,0,3.0,19.0,0,1,6
281,1.0,0,1.0,22.0,0,2,5
282,2.0,0,3.0,41.0,0,1,2
283,2.0,0,1.0,28.0,0,2,5
284,3.0,1,3.0,0.0,0,2,6
285,3.0,1,1.0,42.0,0,2,6
286,3.0,1,3.0,20.0,0,2,6
287,2.0,1,3.0,25.0,0,2,2
288,2.0,1,1.0,22.0,0,2,2
289,2.0,0,1.0,25.0,1,2,4
290,3.0,0,1.0,45.0,0,2,4
291,1.0,0,1.0,19.0,0,1,6
292,1.0,0,2.0,16.0,0,1,5
293,1.0,1,1.0,18.0,0,1,7
294,2.0,1,1.0,38.0,0,1,4
295,2.0,1,3.0,27.0,0,1,4
296,3.0,0,3.0,36.0,0,1,4
297,3.0,0,1.0,21.0,0,1,4
298,1.0,0,1.0,1.0,0,1,7
299,2.0,1,1.0,25.0,0,1,4
300,1.0,1,2.0,3.0,0,2,7
301,1.0,0,1.0,7.0,0,2,7
302,1.0,0,1.0,0.0,0,2,7
303,1.0,0,1.0,32.0,0,2,6
304,1.0,0,3.0,5.0,0,2,7
305,1.0,0,1.0,79.0,0,1,7
306,1.0,0,1.0,19.0,0,1,6
307,1.0,1,1.0,30.0,0,2,7
308,1.0,0,1.0,13.0,0,2,6
309,3.0,0,1.0,53.0,0,1,4
310,3.0,0,1.0,40.0,0,1,5
311,3.0,0,1.0,32.0,0,1,5
312,1.0,1,3.0,31.0,0,1,7
313,1.0,0,1.0,63.0,0,2,5
314,3.0,0,1.0,18.0,0,2,6
315,1.0,1,1.0,21.0,0,1,7
316,1.0,0,1.0,14.0,0,2,6
317,1.0,1,2.0,41.0,0,2,7
318,1.0,1,3.0,40.0,0,2,7
319,1.0,0,1.0,58.0,0,2,6
320,1.0,0,1.0,22.0,0,1,6
321,1.0,1,3.0,13.0,0,1,7
322,2.0,1,1.0,16.0,0,1,2
323,2.0,1,3.0,13.0,0,1,2
324,3.0,0,1.0,15.0,0,2,6
325,3.0,0,1.0,42.0,0,2,5
326,2.0,1,1.0,24.0,0,1,2
327,2.0,0,3.0,19.0,0,1,2
328,2.0,1,1.0,26.0,0,1,2
329,2.0,1,1.0,29.0,0,1,2
330,2.0,0,1.0,15.0,0,1,2
331,2.0,0,1.0,38.0,0,1,2
332,2.0,1,3.0,49.0,0,1,2
333,3.0,1,1.0,20.0,0,2,6
334,3.0,0,1.0,26.0,0,2,5
335,3.0,0,1.0,19.0,0,2,4
336,1.0,0,1.0,46.0,0,2,6
337,3.0,0,1.0,21.0,0,1,6
338,1.0,0,3.0,29.0,0,2,6
339,1.0,1,2.0,26.0,0,1,7
340,1.0,0,1.0,44.0,0,2,6
341,1.0,0,1.0,19.0,0,2,6
342,1.0,0,1.0,29.0,0,2,6
343,3.0,0,1.0,25.0,0,1,6
345,1.0,0,3.0,19.0,0,2,6
346,3.0,0,1.0,33.0,0,2,5
347,3.0,1,1.0,25.0,0,2,6
348,2.0,1,3.0,44.0,0,2,2
349,1.0,0,1.0,21.0,0,1,5
350,3.0,0,1.0,32.0,0,1,6
351,3.0,1,1.0,33.0,0,2,6
352,3.0,0,1.0,32.0,0,2,6
353,3.0,1,1.0,19.0,0,1,6
354,3.0,1,1.0,21.0,0,2,6
355,1.0,1,1.0,23.0,0,2,7
356,2.0,0,3.0,31.0,0,1,4
357,2.0,0,1.0,22.0,0,2,3
359,2.0,0,1.0,53.0,0,2,3
360,2.0,1,3.0,40.0,0,1,3
361,2.0,0,3.0,23.0,0,1,3
362,2.0,1,1.0,36.0,0,1,3
363,1.0,0,1.0,18.0,0,1,6
364,2.0,1,1.0,29.0,0,2,3
365,2.0,0,1.0,48.0,0,2,3
366,3.0,1,1.0,34.0,0,2,5
367,2.0,0,1.0,34.0,0,1,3
368,2.0,0,3.0,27.0,0,1,2
369,2.0,0,1.0,44.0,0,1,2
370,2.0,0,1.0,0.0,0,2,3
371,2.0,1,1.0,1.0,0,2,3
372,2.0,1,1.0,18.0,0,2,3
373,2.0,0,1.0,23.0,0,2,3
374,2.0,0,1.0,26.0,0,2,3
375,2.0,1,3.0,46.0,0,2,3
376,2.0,1,1.0,41.0,0,2,3
377,2.0,0,3.0,25.0,0,2,3
378,3.0,1,1.0,50.0,0,2,4
379,1.0,0,1.0,28.0,0,1,6
380,1.0,1,2.0,17.0,0,1,7
381,2.0,0,3.0,29.0,1,2,3
382,3.0,1,1.0,19.0,0,1,6
383,1.0,0,3.0,34.0,0,1,7
384,2.0,1,3.0,28.0,0,1,3
385,3.0,0,1.0,47.0,0,2,6
386,3.0,0,1.0,28.0,0,1,6
387,3.0,1,1.0,38.0,0,2,5
388,3.0,0,1.0,22.0,1,2,6
389,3.0,0,3.0,18.0,0,2,6
390,2.0,0,1.0,21.0,0,1,1
391,2.0,0,1.0,40.0,0,1,1
392,2.0,1,3.0,67.0,0,1,1
393,1.0,0,2.0,39.0,0,1,6
394,1.0,1,2.0,19.0,0,1,7
395,2.0,1,1.0,28.0,0,1,4
396,2.0,0,3.0,29.0,0,1,4
397,3.0,1,1.0,22.0,0,1,5
398,3.0,0,1.0,23.0,0,1,4
399,1.0,0,2.0,41.0,0,1,6
400,3.0,1,1.0,25.0,0,1,5
401,1.0,1,2.0,43.0,0,1,7
402,3.0,1,1.0,54.0,0,2,5
403,1.0,0,1.0,14.0,0,2,6
404,2.0,1,1.0,69.0,0,2,4
405,1.0,1,2.0,24.0,0,2,7
406,2.0,0,1.0,37.0,0,2,2
407,1.0,0,1.0,28.0,0,1,6
408,2.0,0,3.0,59.0,0,2,2
409,3.0,0,1.0,20.0,0,1,4
410,3.0,1,1.0,23.0,0,1,6
411,1.0,0,1.0,59.0,0,2,7
412,1.0,1,1.0,20.0,0,1,7
413,3.0,0,1.0,36.0,0,2,4
414,3.0,1,1.0,43.0,0,2,6
415,3.0,1,1.0,9.0,0,2,6
416,3.0,1,1.0,32.0,0,1,6
417,1.0,0,1.0,24.0,0,2,5
418,3.0,1,2.0,14.0,0,1,5
419,3.0,1,1.0,45.0,0,1,5
420,1.0,0,1.0,23.0,0,2,7
421,1.0,0,1.0,59.0,0,1,7
423,3.0,0,1.0,61.0,0,1,6
424,3.0,1,1.0,52.0,0,1,6
425,3.0,1,1.0,5.0,0,1,6
426,2.0,0,1.0,51.0,0,1,3
427,2.0,0,1.0,26.0,0,1,3
428,3.0,0,1.0,44.0,0,1,4
429,3.0,0,1.0,46.0,0,1,6
430,3.0,0,1.0,32.0,0,2,4
431,2.0,1,1.0,17.0,0,2,3
432,2.0,1,3.0,21.0,0,2,3
433,2.0,1,3.0,52.0,0,2,3
434,2.0,1,3.0,52.0,0,2,3
435,1.0,0,1.0,14.0,0,1,6
436,1.0,0,1.0,21.0,0,1,6
437,2.0,1,3.0,42.0,0,2,2
438,2.0,1,1.0,28.0,0,2,2
439,1.0,1,2.0,26.0,0,1,7
440,1.0,1,1.0,7.0,0,2,7
441,3.0,0,1.0,14.0,0,2,6
442,3.0,1,1.0,3.0,0,2,6
443,3.0,1,1.0,26.0,0,2,6
444,2.0,0,3.0,54.0,0,2,5
445,1.0,0,1.0,55.0,0,1,7
446,3.0,0,1.0,16.0,0,2,5
447,2.0,0,1.0,38.0,0,1,3
448,1.0,0,1.0,48.0,0,2,7
449,1.0,0,3.0,13.0,0,2,7
450,1.0,0,1.0,20.0,0,2,6
451,3.0,1,1.0,18.0,0,1,5
452,3.0,1,1.0,45.0,0,1,6
453,3.0,1,1.0,5.0,0,1,6
454,3.0,0,3.0,42.0,0,1,6
455,3.0,0,3.0,50.0,0,2,5
456,3.0,0,1.0,21.0,0,2,6
457,1.0,0,1.0,22.0,0,1,7
458,3.0,1,1.0,23.0,0,2,6
459,1.0,0,2.0,22.0,0,1,6
460,1.0,0,1.0,21.0,0,2,6
461,1.0,0,2.0,24.0,0,2,5
462,1.0,0,1.0,24.0,0,2,6
463,2.0,1,1.0,42.0,0,2,4
464,1.0,0,1.0,19.0,0,2,6
465,1.0,0,1.0,32.0,0,1,7
466,1.0,0,1.0,35.0,0,1,5
467,1.0,1,2.0,19.0,0,2,7
468,1.0,0,1.0,55.0,0,2,6
469,1.0,0,1.0,35.0,0,2,7
470,1.0,1,1.0,63.0,0,2,7
471,2.0,0,1.0,66.0,0,1,2
472,2.0,1,3.0,45.0,0,1,2
473,1.0,0,2.0,20.0,0,1,6
474,1.0,1,2.0,21.0,0,1,7
475,1.0,0,1.0,51.0,0,1,7
476,1.0,0,1.0,13.0,0,2,7
477,1.0,0,1.0,24.0,0,2,7
478,3.0,0,1.0,28.0,0,1,6
479,3.0,1,1.0,52.0,0,2,6
480,2.0,0,3.0,32.0,0,2,1
481,1.0,0,1.0,23.0,0,2,6
482,3.0,1,1.0,37.0,0,2,6
483,1.0,1,2.0,35.0,0,2,7
484,1.0,1,1.0,46.0,0,2,7
485,1.0,0,1.0,33.0,0,2,6
486,2.0,0,3.0,34.0,1,1,1
487,1.0,0,1.0,51.0,0,2,7
488,1.0,1,1.0,26.0,0,1,7
489,1.0,0,1.0,27.0,0,1,7
490,2.0,1,3.0,22.0,0,1,3
491,2.0,1,3.0,33.0,0,1,3
492,2.0,1,3.0,31.0,0,1,3
493,1.0,0,1.0,16.0,0,1,5
494,1.0,0,3.0,6.0,0,1,7
495,1.0,0,2.0,18.0,0,2,6
496,2.0,1,3.0,30.0,0,1,4
497,1.0,0,1.0,24.0,0,1,6
498,1.0,1,2.0,57.0,0,1,7
499,1.0,1,1.0,24.0,0,1,7
500,1.0,0,1.0,23.0,0,1,7
501,1.0,0,1.0,40.0,0,1,7
502,1.0,0,3.0,21.0,0,1,7
503,1.0,0,1.0,17.0,0,1,7
504,1.0,1,3.0,25.0,0,1,7
505,1.0,1,1.0,34.0,0,1,7
506,1.0,0,1.0,18.0,0,2,7
507,1.0,0,1.0,8.0,0,2,5
508,1.0,1,2.0,14.0,0,2,5
509,1.0,0,1.0,16.0,0,1,7
510,3.0,0,1.0,22.0,0,1,6
511,2.0,1,1.0,21.0,0,2,2
512,2.0,0,3.0,23.0,0,2,2
513,1.0,1,3.0,26.0,0,1,7
514,3.0,0,1.0,18.0,0,2,4
515,1.0,0,1.0,72.0,0,2,7
516,3.0,0,1.0,18.0,0,1,6
517,2.0,1,3.0,24.0,0,2,3
518,3.0,0,1.0,36.0,0,2,6
519,3.0,1,1.0,13.0,0,2,6
520,1.0,0,1.0,19.0,0,2,6
521,1.0,0,2.0,28.0,0,2,6
522,1.0,1,3.0,2.0,0,2,7
523,1.0,1,1.0,5.0,0,2,7
524,1.0,0,3.0,25.0,0,2,5
525,2.0,0,1.0,45.0,0,2,3
526,2.0,1,1.0,59.0,0,2,3
527,2.0,0,1.0,6.0,0,2,3
528,2.0,0,1.0,36.0,0,2,3
529,2.0,0,1.0,40.0,0,2,3
530,3.0,0,1.0,36.0,1,2,6
531,3.0,1,1.0,31.0,0,2,6
532,1.0,0,2.0,19.0,0,1,7
533,1.0,1,1.0,13.0,0,1,7
534,2.0,1,1.0,31.0,0,2,3
535,1.0,1,1.0,22.0,0,2,3
536,2.0,0,3.0,52.0,0,2,3
537,1.0,0,1.0,22.0,0,1,6
538,1.0,1,1.0,34.0,0,1,7
539,3.0,1,1.0,23.0,0,2,6
540,2.0,1,3.0,14.0,0,1,2
541,2.0,1,1.0,30.0,0,1,2
542,2.0,1,3.0,75.0,0,2,2
543,2.0,0,1.0,28.0,0,2,2
545,2.0,0,1.0,25.0,0,2,2
546,2.0,0,3.0,21.0,0,2,2
547,2.0,0,1.0,26.0,0,2,5
548,2.0,0,3.0,28.0,1,2,1
549,2.0,0,1.0,41.0,0,1,5
550,1.0,1,2.0,25.0,0,1,7
551,1.0,0,3.0,28.0,0,2,6
552,3.0,0,1.0,0.0,0,1,6
553,3.0,0,1.0,19.0,0,1,6
554,3.0,0,1.0,22.0,0,1,5
555,3.0,0,1.0,2.0,0,1,6
556,1.0,0,3.0,35.0,0,2,7
557,1.0,0,1.0,42.0,0,2,6
558,3.0,1,1.0,46.0,0,1,5
559,3.0,1,1.0,26.0,0,1,5
560,1.0,1,2.0,19.0,0,2,7
561,1.0,0,1.0,11.0,0,2,7
562,1.0,1,2.0,11.0,0,2,7
563,3.0,0,1.0,17.0,0,1,6
564,1.0,0,1.0,23.0,0,2,6
565,1.0,0,1.0,37.0,0,2,5
566,3.0,1,1.0,18.0,0,2,6
567,3.0,0,1.0,48.0,0,2,5
568,1.0,0,1.0,18.0,0,2,6
569,2.0,1,1.0,18.0,0,1,3
570,2.0,0,1.0,32.0,1,1,3
571,2.0,1,3.0,26.0,0,1,3
572,2.0,1,2.0,26.0,0,2,3
573,1.0,0,3.0,55.0,0,2,3
574,1.0,0,3.0,19.0,0,1,7
575,3.0,0,1.0,65.0,0,2,4
576,3.0,0,1.0,28.0,0,1,6
577,3.0,0,1.0,24.0,0,1,6
578,2.0,1,3.0,52.0,0,2,3
579,2.0,0,1.0,67.0,0,2,4
580,2.0,0,1.0,34.0,0,2,4
581,3.0,0,1.0,23.0,0,1,5
582,1.0,0,1.0,26.0,0,1,5
583,1.0,0,1.0,28.0,0,2,6
584,1.0,0,1.0,9.0,0,2,7
585,1.0,0,3.0,1.0,0,2,7
586,1.0,1,1.0,1.0,0,2,7
587,1.0,0,1.0,58.0,0,2,5
588,2.0,0,1.0,59.0,0,1,3
589,2.0,0,1.0,54.0,0,1,3
590,2.0,0,3.0,8.0,0,2,4
591,2.0,1,1.0,28.0,0,2,4
592,2.0,0,3.0,19.0,0,2,2
593,2.0,1,3.0,23.0,0,2,2
594,3.0,1,1.0,47.0,0,2,6
595,3.0,0,1.0,17.0,0,2,4
596,3.0,1,1.0,33.0,0,2,6
597,3.0,1,1.0,43.0,0,2,6
598,2.0,1,1.0,28.0,0,2,5
599,1.0,0,1.0,32.0,0,1,6
600,1.0,0,1.0,13.0,0,1,6
601,3.0,1,1.0,18.0,0,1,6
602,1.0,1,1.0,16.0,0,2,7
603,3.0,1,1.0,6.0,0,1,6
604,1.0,0,1.0,27.0,0,1,6
605,3.0,1,1.0,29.0,0,2,4
606,1.0,0,3.0,32.0,0,2,5
607,1.0,0,1.0,23.0,0,2,5
608,2.0,1,1.0,33.0,0,2,3
609,2.0,1,1.0,51.0,0,2,3
610,2.0,0,1.0,41.0,0,2,3
611,2.0,0,1.0,20.0,0,2,3
612,1.0,0,3.0,0.0,0,1,7
613,1.0,0,3.0,13.0,0,1,6
614,1.0,1,1.0,13.0,0,1,7
615,3.0,0,1.0,13.0,0,2,6
616,3.0,1,3.0,24.0,0,1,6
617,2.0,0,3.0,26.0,0,2,2
618,1.0,0,3.0,32.0,0,2,7
619,1.0,0,1.0,24.0,0,1,6
620,3.0,0,1.0,27.0,0,2,5
621,1.0,0,1.0,24.0,0,1,6
622,3.0,0,1.0,34.0,0,2,6
623,1.0,0,2.0,26.0,0,1,6
624,1.0,0,1.0,22.0,0,1,6
625,1.0,0,1.0,10.0,0,2,7
626,1.0,0,1.0,28.0,0,2,7
627,1.0,1,1.0,5.0,0,2,7
628,1.0,1,1.0,26.0,0,2,7
629,1.0,0,1.0,29.0,0,2,6
630,1.0,0,1.0,17.0,0,2,6
631,1.0,0,1.0,18.0,0,1,5
632,1.0,0,2.0,35.0,0,2,6
633,1.0,0,1.0,42.0,0,2,7
634,3.0,1,3.0,35.0,0,2,6
635,2.0,0,1.0,42.0,0,1,1
636,2.0,0,1.0,33.0,0,1,1
637,1.0,1,2.0,20.0,0,1,7
638,1.0,1,1.0,2.0,0,1,7
639,1.0,1,1.0,2.0,0,1,7
640,3.0,1,1.0,43.0,0,2,5
641,3.0,1,1.0,10.0,0,2,6
642,3.0,0,1.0,26.0,0,2,6
643,3.0,0,1.0,42.0,0,2,5
644,1.0,1,1.0,24.0,0,1,7
